,id,r,cx,cz,c,contrast,cnr,snr,gcnr
23,117,0.002,-0.014,0.0475,1500.0,-38.076069355010986,-1.5854095220565796,1.6054449081420898,1.0
24,119,0.003,-0.014,0.0525,1440.0,-42.042832374572754,-1.6429667472839355,1.6560567617416382,0.9984894261303996
25,120,0.008,0.014,0.0525,1440.0,-41.95582389831543,-1.5594569444656372,1.5720075368881226,1.0
26,122,0.008,0.016,0.04,1440.0,-52.64690399169922,-1.8010443449020386,1.805253505706787,1.0
27,128,0.004,0.002,0.065,1590.0,-31.925950050354004,-1.447060465812683,1.5236170291900635,0.9674713981048891
28,138,0.002,0.008,0.06,1540.0,-47.63697624206543,-1.3669450283050537,1.372642993927002,1.0
29,155,0.002,-0.016,0.0525,1490.0,-41.16219997406006,-1.6848533153533936,1.6997222900390625,1.0
30,156,0.002,0.004,0.065,1590.0,-7.131796479225159,-0.4630403220653534,1.0287529230117798,0.5949432255202374
31,184,0.004,-0.012,0.0625,1580.0,-43.348188400268555,-1.5251779556274414,1.535622477531433,1.0
32,186,0.003,-0.012,0.0675,1480.0,-31.813969612121582,-1.6999866962432861,1.7447705268859863,1.0
33,193,0.008,-0.008,0.06,1580.0,-47.536020278930664,-1.604107141494751,1.6108722686767578,0.9997550220374445
34,197,0.008,0.016,0.0675,1430.0,-44.962873458862305,-1.5214906930923462,1.5301322937011719,0.9993920972365615
35,210,0.004,-0.006,0.0625,1460.0,-54.0397310256958,-2.0277671813964844,2.0318024158477783,1.0
36,219,0.003,-0.016,0.065,1490.0,-50.431790351867676,-1.7028796672821045,1.7080191373825073,1.0
37,231,0.002,0.002,0.07,1470.0,-5.096918940544128,-0.7197530269622803,1.8682048320770264,0.6533576916930994
38,232,0.003,-0.008,0.04,1600.0,-48.93489360809326,-1.4706381559371948,1.4759143590927124,1.0
39,237,0.004,0.014,0.055,1590.0,-40.97229480743408,-1.1478406190872192,1.1581960916519165,0.8297413830682365
40,240,0.004,-0.016,0.04,1570.0,-38.432137966156006,-1.5834732055664062,1.6026707887649536,1.0
41,241,0.008,-0.012,0.045,1540.0,-49.66456413269043,-1.6630932092666626,1.6685776710510254,0.9998373190116455
42,245,0.004,0.008,0.07,1510.0,-50.54574012756348,-1.7231098413467407,1.7282421588897705,0.994719471213596
43,247,0.006,0.008,0.06,1470.0,-41.43221378326416,-1.6675481796264648,1.681809902191162,0.999281437043392
44,248,0.003,0.002,0.065,1590.0,-52.61672019958496,-1.9547547101974487,1.9593391418457031,1.0
45,249,0.003,-0.002,0.0675,1530.0,-41.56710147857666,-1.7217808961868286,1.736277461051941,0.9984871403051906
46,251,0.002,0.016,0.0525,1590.0,-44.49113368988037,-1.9772173166275024,1.9890819787979126,1.0
