id,r,cx,cz,c,contrast,cnr,snr,gcnr
303,0.008,-0.014,0.07,1450.0,-6.057784557342529,-4.279623031616211,9.415616989135742,0.9964345501600406
306,0.004,-0.008,0.07,1500.0,-5.71674644947052,-3.87163519859314,8.840128898620605,0.993388797584548
316,0.003,-0.016,0.0675,1420.0,-0.3502773866057396,-0.2586445808410644,8.943720817565918,0.3075273651943374
324,0.008,0.016,0.065,1450.0,-3.072804808616638,-0.7960507869720459,2.7759392261505127,0.4218757925965339
325,0.002,0.014,0.07,1570.0,0.1517246104776859,0.1293589174747467,9.877923011779783,0.5386157890504464
326,0.002,0.006,0.0525,1560.0,-0.2275300584733486,-0.1765454709529876,9.11073112487793,0.5548775935082648
333,0.002,-0.014,0.0525,1530.0,-0.5663080140948296,-0.3763652443885803,8.180459022521973,0.560146204117011
339,0.004,0.016,0.0425,1510.0,-0.4986988753080368,-0.3811286091804504,9.096135139465332,0.2839866135342803
350,0.002,-0.008,0.065,1600.0,0.167107917368412,0.1330110281705856,9.794604301452637,0.5372205940459125
351,0.002,0.016,0.0675,1530.0,0.0099035003222525,0.0082495473325252,9.6676025390625,0.538012411223014
361,0.006,0.016,0.0475,1530.0,-5.187262892723084,-3.115537643432617,8.641502380371094,0.9606946141652176
362,0.003,0.004,0.065,1590.0,-0.1898230612277984,-0.1354464888572693,7.786065578460693,0.286318757927925
364,0.004,-0.008,0.0675,1460.0,-0.0530696054920554,-0.0396782159805297,8.9562349319458,0.1533941658495554
365,0.004,-0.006,0.05,1600.0,-2.7657097578048706,-0.8763847351074219,4.003375053405762,0.5623169595330183
371,0.003,-0.002,0.05,1550.0,-2.6154977083206177,-1.6520614624023438,7.858329772949219,0.7713929916739406
372,0.003,0.004,0.065,1490.0,-1.8017633259296415,-0.5216598510742188,4.0002522468566895,0.4013607662790126
377,0.006,-0.014,0.0525,1550.0,-5.405662059783936,-3.1465234756469727,8.43895435333252,0.964716111728416
379,0.004,-0.004,0.0425,1560.0,-3.483440577983856,-1.2206547260284424,3.877942323684693,0.6738440505264337
383,0.008,0.01,0.055,1430.0,-5.376409888267517,-2.496716260910034,5.712301731109619,0.9085656441717856
384,0.003,-0.014,0.0525,1540.0,-3.91644299030304,-1.5340802669525146,4.453698635101318,0.7542380081576726
385,0.004,-0.016,0.0675,1590.0,-4.6803367137908936,-2.605985641479492,9.018060684204102,0.9130756027486864
389,0.002,0.004,0.0675,1420.0,-0.2864756621420383,-0.2149288803339004,8.893059730529785,0.5263155403979488
390,0.002,-0.008,0.0525,1590.0,-0.1483357511460781,-0.1035811752080917,8.380701065063477,0.5368317625304186
394,0.004,0.004,0.0475,1440.0,-3.5911715030670166,-1.3333659172058103,4.1869730949401855,0.7074064536918327
398,0.002,-0.004,0.05,1470.0,-0.1559748128056526,-0.1085631102323532,8.866764068603516,0.5512511962327006
400,0.003,0.014,0.0475,1480.0,-3.714568316936493,-1.416598200798035,4.51090145111084,0.7281618385066884
415,0.002,0.002,0.0425,1420.0,-1.6062219440937042,-0.6337472796440125,4.064627170562744,0.6257310699131395
420,0.008,0.0,0.0675,1590.0,-4.679042100906372,-1.8792145252227783,9.39364242553711,0.820020230053772
429,0.006,-0.016,0.07,1460.0,-4.146060943603516,-1.70249342918396,8.452251434326172,0.7860926346868801
436,0.006,0.006,0.0475,1530.0,-4.215210378170013,-1.4640744924545288,4.035962104797363,0.7183959374534319
438,0.002,-0.004,0.04,1540.0,-1.922730803489685,-0.7801001071929932,4.210327625274658,0.6015322938986765
442,0.002,0.008,0.0575,1550.0,-0.0311079295352101,-0.0231102984398603,8.36667251586914,0.4539917243004173
444,0.004,0.006,0.0475,1550.0,-4.609122276306152,-3.049241781234741,8.692424774169922,0.9739683232674864
447,0.003,-0.002,0.0425,1420.0,-2.996672093868256,-1.063562035560608,3.852513313293457,0.5847132709395095
450,0.002,0.012,0.0425,1520.0,-1.2586890161037445,-0.588293194770813,4.968541622161865,0.5650407981494789
451,0.002,0.006,0.07,1560.0,0.0105695379897952,0.0083480812609195,9.564066886901855,0.5491418017190531
460,0.008,-0.014,0.05,1570.0,-4.411103129386902,-1.3060208559036257,3.331610918045044,0.6910111394689553
463,0.002,0.004,0.07,1520.0,-0.017172631341964,-0.0147834615781903,10.49155044555664,0.5383136940278296
464,0.003,0.006,0.0525,1480.0,-0.0608114339411258,-0.0448204465210437,9.038543701171877,0.2719912386730709
469,0.004,-0.01,0.055,1480.0,-1.7633411288261414,-0.4657138586044311,3.9668469429016113,0.3769313750140035
476,0.006,0.01,0.0675,1440.0,-6.543589234352112,-3.745748281478882,9.699742317199709,0.9660242741179556
477,0.003,0.006,0.06,1460.0,-0.4455334693193435,-0.3587810695171356,9.205825805664062,0.2999828571872043
483,0.006,-0.014,0.0475,1530.0,-6.0609132051467896,-2.730447769165039,5.746779918670654,0.9346874169156908
488,0.008,-0.008,0.04,1440.0,-6.308397054672241,-3.769545078277588,8.12358570098877,0.9923845867109816
494,0.003,0.016,0.0475,1600.0,-5.1679301261901855,-3.274613857269287,8.257962226867676,0.9892389844917354
500,0.006,0.014,0.045,1530.0,-5.945561528205872,-1.8114581108093264,3.722226858139038,0.7944867819792996
501,0.004,0.006,0.0425,1510.0,-5.0636303424835205,-2.359010696411133,5.752743721008301,0.9203772718503368
517,0.008,0.004,0.0475,1590.0,-6.514183878898621,-3.903831720352173,8.109540939331055,0.9939062633560918
518,0.008,0.012,0.0525,1450.0,-6.269590854644775,-2.173669576644897,4.317017555236816,0.8672539342140748
522,0.002,0.002,0.05,1450.0,-0.1717774197459221,-0.1239939481019973,9.307490348815918,0.5085950493744156
525,0.008,-0.014,0.04,1510.0,-6.613211631774902,-4.075911045074463,8.619062423706055,0.9912181292575458
526,0.004,0.012,0.07,1540.0,-3.742390275001526,-0.8948313593864441,3.5631916522979736,0.592524807370481
535,0.002,0.012,0.0525,1560.0,-0.0853074807673692,-0.0547525025904178,7.435122013092041,0.5304878629897714
