id,r,cx,cz,c,contrast,cnr,snr,gcnr
247,0.006,0.008,0.06,1470.0,-8.847890496253967,-0.9378976821899414,1.5347665548324585,0.5882985614235896
248,0.003,0.002,0.065,1590.0,-9.052180647850037,-1.0705395936965942,1.7425938844680786,0.6210941785144062
249,0.003,-0.002,0.0675,1530.0,-7.924590706825256,-1.0221444368362427,1.8199275732040405,0.6075879400513894
251,0.002,0.016,0.0525,1590.0,-7.372713088989258,-0.7707113027572632,1.4150785207748413,0.6130461873802874
256,0.003,0.01,0.055,1550.0,-8.79568099975586,-0.9062932729721069,1.4927397966384888,0.5607248675363556
265,0.006,0.006,0.07,1540.0,-10.207098722457886,-1.1045987606048584,1.6573114395141602,0.6750851193129253
272,0.006,-0.002,0.0675,1600.0,-10.915893316268921,-1.152681827545166,1.6651796102523804,0.6992421069485496
277,0.006,-0.014,0.04,1470.0,-6.8109846115112305,-0.8341059684753418,1.6538161039352417,0.48888874257359816
286,0.002,0.004,0.0675,1430.0,-6.010115146636963,-0.7202770113945007,1.5168827772140503,0.5380118607411222
289,0.004,0.008,0.045,1570.0,-8.546450734138489,-0.9709389805793762,1.6298454999923706,0.5902935422292861
291,0.002,0.006,0.045,1530.0,-6.896767020225525,-0.8843376040458679,1.7238795757293701,0.6716523355209073
292,0.006,0.002,0.06,1510.0,-9.918380379676819,-1.0706537961959839,1.6323902606964111,0.6455203844774269
298,0.008,-0.012,0.0575,1420.0,-9.252811670303345,-1.0202703475952148,1.6258898973464966,0.6220181541700985
299,0.006,-0.006,0.0425,1460.0,-8.037391901016235,-0.9032648205757141,1.5773999691009521,0.5488994918063443
303,0.008,-0.014,0.07,1450.0,-9.001084566116333,-0.9753226041793823,1.5703058242797852,0.605607082368466
306,0.004,-0.008,0.07,1500.0,-8.222063183784485,-0.9799438714981079,1.6978453397750854,0.5922294141201355
316,0.003,-0.016,0.0675,1420.0,-6.434543132781982,-0.7906501293182373,1.6106318235397339,0.4990010496481643
324,0.008,0.016,0.065,1450.0,-8.447010517120361,-0.9648167490959167,1.6370960474014282,0.5750321987058198
325,0.002,0.014,0.07,1570.0,-10.106960535049438,-1.1366909742355347,1.7195208072662354,0.7351281510423971
326,0.002,0.006,0.0525,1560.0,-8.229694366455078,-0.9357950091362,1.6054848432540894,0.6402439815539811
333,0.002,-0.014,0.0525,1530.0,-6.522496342658997,-0.8766287565231323,1.7832878828048706,0.6309394332599764
339,0.004,0.016,0.0425,1510.0,-5.875917077064514,-0.7121784090995789,1.5620982646942139,0.435029582510001
350,0.002,-0.008,0.065,1600.0,-8.162680268287659,-0.9330224990844727,1.6128430366516113,0.6775370480455689
351,0.002,0.016,0.0675,1530.0,-7.409343719482422,-0.8414967060089111,1.5619235038757324,0.5906432812895952
361,0.006,0.016,0.0475,1530.0,-7.988320589065552,-0.9014964699745178,1.5740419626235962,0.5437654694621036
362,0.003,0.004,0.065,1590.0,-9.322891235351562,-1.0082876682281494,1.5808286666870117,0.6630647314439144
364,0.004,-0.008,0.0675,1460.0,-8.66248905658722,-1.0167423486709595,1.6926352977752686,0.6092211788635264
365,0.004,-0.006,0.05,1600.0,-8.53753924369812,-0.954961895942688,1.5923256874084473,0.5845370603466189
371,0.003,-0.002,0.05,1550.0,-9.329211711883545,-1.0253963470458984,1.61732017993927,0.6363996222530262
372,0.003,0.004,0.065,1490.0,-9.317569732666016,-0.9740237593650818,1.5364493131637573,0.6010161740890112
377,0.006,-0.014,0.0525,1550.0,-9.575598239898682,-1.0561586618423462,1.643007516860962,0.6402433033476116
379,0.004,-0.004,0.0425,1560.0,-7.940396666526794,-0.9408644437789917,1.6655921936035156,0.5676151074204583
383,0.008,0.01,0.055,1430.0,-8.416886925697327,-0.9508957862854004,1.6084014177322388,0.564785819404852
384,0.003,-0.014,0.0525,1540.0,-8.708999752998352,-0.9402288198471069,1.5603941679000854,0.5587179417250074
385,0.004,-0.016,0.0675,1590.0,-10.228850841522217,-1.0642826557159424,1.5880752801895142,0.6648268392664431
389,0.002,0.004,0.0675,1420.0,-8.552067875862122,-1.000976800918579,1.743587613105774,0.7251461925457328
390,0.002,-0.008,0.0525,1590.0,-9.247600436210632,-0.8282278180122375,1.2908356189727783,0.6067746686846276
394,0.004,0.004,0.0475,1440.0,-7.170473337173462,-0.8716646432876587,1.6624997854232788,0.5297225958432622
398,0.002,-0.004,0.05,1470.0,-7.88918137550354,-0.8468636870384216,1.468696117401123,0.6261359603689368
400,0.003,0.014,0.0475,1480.0,-6.630123853683472,-0.7485005855560303,1.4893898963928223,0.4776628445815694
415,0.002,0.002,0.0425,1420.0,-5.749832987785339,-0.6856043338775635,1.5027611255645752,0.5438597025073885
420,0.008,0.0,0.0675,1590.0,-11.38058066368103,-1.1632637977600098,1.6355297565460205,0.719519865422551
429,0.006,-0.016,0.07,1460.0,-8.306010961532593,-0.9504899382591248,1.6292641162872314,0.56448330012775
436,0.006,0.006,0.0475,1530.0,-9.03744637966156,-1.0155714750289917,1.6408400535583496,0.6171444103799482
438,0.002,-0.004,0.04,1540.0,-6.642590761184692,-0.7968571186065674,1.614321231842041,0.5679573157816008
442,0.002,0.008,0.0575,1550.0,-6.237890720367432,-0.7646928429603577,1.5952153205871582,0.607341539624364
444,0.004,0.006,0.0475,1550.0,-8.48154067993164,-0.9244592189788818,1.5577411651611328,0.5640194638822575
447,0.003,-0.002,0.0425,1420.0,-6.884644031524658,-0.8626096844673157,1.7239952087402344,0.5094564689688574
